,index,SUPPLIER_NBR,SUPPLIER_ERP,SUPPLIER_ADDRESS,SUPPLIER_CITY,SUPPLIER_STATE,SUPPLIER_ZIP_CDE,SUPPLIER_COUNTRY,SUPPLIER_TAX_ID,SPEND_USD,D-U-N-S Number,business_name,street_address,Global Ultimate Business Name,cosine_similarity,match
41,320,34021798,SOVOS COMPLIANCE LLC,200 BALLARDVALE ST FL 4,WILMINGTON,MA,01887-1074,US,46-1379693,15320.34,79787721,"Sovos Compliance, LLC",200 Ballardvale St FL 4 Wilmington MA,HGCAPITAL LLP,1.0,Yes
42,344,34022328,MEDIANT COMMUNICATIONS,"3 COLUMBUS CIRCLE, STE 2110",NEW YORK,NY,10019-8712,US,74-3072691,2534.1000000000004,156398286,Mediant Communications Inc.,400 Regency Forest Dr # 200 Cary NC,Mediant Communications Inc.,1.0,Yes
43,345,34022493,CONNORS AND ASSOCIATES LLC,4000 TOWN CENTER BLVD STE 310,CANONSBURG,PA,15317,US,26-2369273,38342.2,18603065,"Connors & Associates, LLC",4000 Town Center Blvd # 31 Canonsburg PA,"Connors & Associates, LLC",1.0,Yes
44,348,34022613,INTELLIGRATED SYSTEMS LLC,16996 COLLECTIONS CENTER DRIVE,CHICAGO,IL,60693-0169,US,31-1815356,69178.05,79872616,"Intelligrated Systems, Inc.",9014 Heritage Pkwy # 308 Woodridge IL,Honeywell International Inc.,1.0000000000000002,Yes
45,350,34022701,TOWLIFT INC,PO BOX 92439,CLEVELAND,OH,44193-0614,US,34-0963132,36299.74,45713856,"Towlift, Inc.",1395 Valley Belt Rd Brooklyn Heights OH,"Towlift, Inc.",1.0,Yes
46,351,34022742,PCI SECURITY STANDARDS COUNCIL,401 EDGEWATER PLACE SUITE 600,WAKEFIELD,MA,01880,US,20-5255562,4000.0,829176911,"PCI Security Standards Council, LLC",401 Edgewater Pl Wakefield MA,"PCI Security Standards Council, LLC",1.0,Yes
47,353,34022836,INTELEX TECHNOLOGIES INC,70 UNIVERSITY AVE SUITE 900,TORONTO,ON,M5J 2M4,CA,133356097,3227.1000000000004,253323430,"Intelex Technologies, ULC",70 University Ave Suite 900 TORONTO ON,Fortive Corporation,0.939,Yes
48,356,34023061,WILLIS TOWERS WATSON MIDWEST INC,LOCKBOX 28025,CHICAGO,IL,60673-1280,US,34-1174529,217619.99,72343270,"Willis Towers Watson Midwest, Inc.",233 S Wacker Dr Ste 1800 Chicago IL,WILLIS TOWERS WATSON PUBLIC LIMITED COMPANY,1.0,Yes
49,358,34023099,CSC CORPORATE DOMAINS INC,PO BOX 7410023,CHICAGO,IL,60674-5023,US,52-2092827,424.62,808475805,"CSC Corporate Domains, Inc.",251 Little Falls Dr Wilmington DE,Corporation Service Company Inc,1.0000000000000002,Yes
50,363,34023299,RETAIL GIFT CARD ASSOCIATION,4248 PARK GLEN ROAD,MINNEAPOLIS,MN,55416,US,26-3840210,5000.0,116932049,Retail Gift Card Association,4248 Park Glen Rd Minneapolis MN,Retail Gift Card Association,1.0000000000000002,Yes
51,364,34024050,GALLAGHER BASSETT SERVICES INC,15763 COLLECTIONS CENTER DR,CHICAGO,IL,60693,US,36-3365500,607303.0700000001,147525224,"Gallagher Bassett Services, Inc.",2850 Golf Rd Rolling Meadows IL,Arthur J. Gallagher & Co.,1.0,Yes
52,365,34024395,WGSN INC,232 W 44TH ST 7TH FL,NEW YORK,NY,10036,US,04-3851246,163103.84,47177990,Wgsn Inc,25 W 39th St FL 14 New York NY,Wgsn Inc,1.0,Yes
53,368,34024472,GOOGLE INC,DEPT 33654 PO BOX 39000,SAN FRANCISCO,CA,94139,US,77-0493581,3359065.83,60902413,Google LLC,1600 Amphitheatre Pkwy Mountain View CA,Alphabet Inc.,1.0,Yes
54,370,34024565,MELTWATER NEWS US INC,DEPT LA 23721,PASADENA,CA,91185,US,20-8289528,23650.0,785161154,Meltwater News US Inc.,465 California St FL 11 San Francisco CA,Meltwater N.V.,1.0000000000000002,Yes
55,377,34025002,BRANT SCREEN KRAFT,555 GREENWICH ST,BRANTFORD,ON,N3T 5T3,CA,895756807,-8.526512829121202e-13,200375699,Brant InStore Corporation,555 Greenwich St BRANTFORD ON,Brant InStore Corporation,0.8083,Yes
56,383,34025135,AVI FOOD SYSTEMS INC,2590 ELM RD NE,WARREN,OH,44483,US,34-0939177,22525.91,18409615,"AVI Food Systems, Inc.",2590 Elm Rd Ne Warren OH,"AVI Food Systems, Inc.",1.0,Yes
57,386,34025337,LEYDIG VOIT & MAYER,180 N STETSON STE 4900,CHICAGO,IL,60601,US,36-2708672,52541.0,68595685,"Leydig, Voit & Mayer, Ltd.",2 Prdntial Plz Ste 4900 Chicago IL,"Leydig, Voit & Mayer, Ltd.",1.0,Yes
58,389,34025452,U-HAUL INTERNATIONAL,2727 N CENTRAL AVE,PHOENIX,AZ,85004,US,,20414.99,42370775,"U-Haul International, Inc.",2727 N Central Ave Phoenix AZ,Amerco,1.0000000000000002,Yes
59,391,34025498,INTERNATIONAL ASSOCIATION OF,75 ROCHESTER AVE,PORTSMOUTH,NH,03801,US,23-3048008,3000.0,167520886,The International Association of Privacy Professionals Inc,75 Rochester Ave Ste 4 Portsmouth NH,The International Association of Privacy Professionals Inc,0.7853,Yes
60,398,34025898,EUROSORT INC,55 NEW PLANT CT,OWINGS MILLS,MD,21117,US,06-1674654,136.83,135793094,Eurosort Inc.,55 New Plant CT Owings Mills MD,Eurosort Inc.,1.0,Yes
61,400,34025933,APOSTROPHE,217 CENTRE ST 7TH FLR,NEW YORK,NY,10013,US,41-2212956,70817.67,193035578,Apostrophe LLC,217 Centre St FL 7 New York NY,Apostrophe LLC,1.0,Yes
62,405,34026148,ATLASSIAN PTY LTD,LEVEL 6 341 GEORGE ST,SYDNEY,NSW,2000,AU,92-1542201,324079.42,80192126,Atlassian Pty Ltd,32151 Collections Ctr Dr Chicago IL,ATLASSIAN AUSTRALIA 1 PTY LTD,1.0,Yes
63,406,34026251,INFOR US INC,13560 MORRIS RD STE 4100,ALPHARETTA,GA,30004,US,20-3469219,14030.0,107700176,"Infor (us), LLC",380 Saint Peter St Saint Paul MN,"Koch Industries, Inc.",1.0,Yes
64,417,34026868,SUMMIT ENERGY SERVICES INC,25716 NETWORK PLACE,CHICAGO,IL,60673-3197,US,61-1211144,108942.0,808786073,"Summit Energy Services, Inc.",10350 Ormsby Park Pl # 400 Louisville KY,SCHNEIDER ELECTRIC SE,1.0,Yes
65,419,34027036,GOVDOCS INC,1305 CORPORATE CTR DR STE 400,EAGAN,MN,55121,US,38-3815756,1868.56,28574656,"Govdocs, Inc.",355 Randolph Ave Ste 200 Saint Paul MN,"Govdocs, Inc.",1.0,Yes
66,420,34027047,WORKPLACE SAFETY AND,"STE 300, 5110 CREEKBANK RD",MISSISSAUGA,ON,L4W 0A1,CA,809755622,5603.09,243949968,Workplace Safety & Prevention Services,5110 Creekbank Rd MISSISSAUGA ON,Workplace Safety & Prevention Services,0.8773,Yes
67,431,34027696,SHRED IT INTERNATIONAL INC,2794 S SHERIDAN WAY,OAKSVILLE,ON,L6J 7T4,CA,866259062,6981.16,623123234,Shred It International,1625 Wallace Dr Ste 140 Carrollton TX,Shred It International,1.0000000000000002,Yes
68,432,34027748,SHUTTERSTOCK INC,350 FIFTH AVE 21ST FLOOR,NEW YORK,NY,10118,US,80-0812659,191445.0,612408976,"Shutterstock, Inc.",350 5th Ave FL 21 New York NY,"Shutterstock, Inc.",1.0,Yes
69,437,34028099,PREMIUM OUTLET PARTNERS,18521 OUTLET BLVD,CHESTERFIELD,MO,63005,US,22-3258100,7000.0,132485553,"Premium Outlet Partners, L.P.",875 S Grand Central Pkwy Las Vegas NV,"Simon Property Group, Inc.",1.0,Yes
70,441,34028176,DELOITTE HASKINS & SELLS,"DELOITTE CENTRE, ANCHORAGE II",BANGALORE,10,560025,IN,,15106.99,869418430,DELOITTE HASKINS & SELLS,10 7TH FLOOR DLF CYBER CITY COMPLEX Gurugram HR,DELOITTE HASKINS & SELLS,1.0,Yes
71,442,34028189,CAPTECH VENTURES INC,7100 FOREST AVE STE 100,RICHMOND,VA,23226,US,54-1843700,141981.6,27611651,"Captech Ventures, Inc.",7100 Forest Ave FL 2 Richmond VA,Markel Corporation,1.0,Yes
72,454,34028731,BARCODES INC,"200 WEST MONROE, 23RD FLOOR",CHICAGO,IL,60690,US,20-3290210,122220.16,800461134,Barcodes LLC,200 W Monroe St Ste 2300 Chicago IL,Barcodes LLC,1.0,Yes
73,456,34028747,SGS NORTH AMERICA INC,2497 VAUXHALL RD,UNION,NJ,07083,US,13-3041390,1596005.0,14212141,SGS North America Inc.,117 E Main St Toulon IL,SGS SA,1.0000000000000002,Yes
74,469,34028980,GRAND AND TOY LTD,PO BOX 5500,DON MILLS,ON,M3C 3L5,CA,894032192,151374.9,252972492,Grand & Toy Limited,939 Lawrence Ave E Suite 88 NORTH YORK ON,Grand & Toy Limited,1.0,Yes
75,471,34029107,TEALIUM INC,DEPT CH 19762,PALATINE,IL,60055-9762,US,26-2099687,248368.02000000002,826859154,Tealium Inc.,11095 Torreyana Rd FL 2 San Diego CA,Tealium Inc.,1.0,Yes
76,474,34029164,HAZELCAST INC,3000 EL CAMINO REAL BLDG 4,PALO ALTO,CA,94306-2100,US,45-5588368,806250.0,78628313,"Hazelcast, Inc.",3000 El Camino Real Palo Alto CA,"Hazelcast, Inc.",1.0,Yes
77,475,34029172,ABM PARKING SERVICES,945 W 8TH ST,LOS ANGELES,CA,90017,US,95-2495556,7900.0,91178005,ABM Parking Services,1040 Glendon Ave Los Angeles CA,ABM Parking Services,1.0,Yes
78,485,34029613,CENTER FOR INTERNET SECURITY INC,31 TECH VALLEY DR,EAST GREENBUSH,NY,12061,US,52-2278213,14190.0,197891240,"Center For Internet Security, Inc.",31 Tech Valley Dr East Greenbush NY,"Center For Internet Security, Inc.",1.0,Yes
79,499,34029963,SALESFORCE.COM INC,THE LANDMARK AT 1 MARKET ST STE 300,SAN FRANCISCO,CA,94105,US,94-3320693,13605508.15,118236282,"Salesforce, Inc.",2300 N Field St FL 15 Dallas TX,"Salesforce, Inc.",1.0,Yes
80,512,34030302,BLACKLINE SYSTEMS INC,21300 VICTORY BLVD FL 12,WOODLAND HILLS,CA,91367-7734,US,95-4876613,280034.8,123799004,"Blackline Systems, Inc.",21300 Victory Blvd FL 12 Woodland Hills CA,"Blackline, Inc.",1.0000000000000002,Yes
81,520,34030413,BOX INC,4440 EL CAMINO REAL,LOS ALTOS,CA,94022,US,20-2714444,26239.12,4168010,"Box, Inc.",900 Jefferson Ave Redwood City CA,"Box, Inc.",1.0,Yes
82,523,34030568,ELASTICSEARCH INC,800 W EL CAMINO REAL STE 350,MOUNTAIN VIEW,CA,94040,US,80-0841163,138352.5,78664874,"Elasticsearch, Inc.",800 W El Cmino Real Ste 3 Mountain View CA,Elastic N.V.,1.0,Yes
83,528,34030734,CHATHAM HEDGING ADVISORS LLC,235 WHITEHORSE LANE,KENNETT SQUARE,PA,19348,US,23-2659499,21000.0,838295665,Chatham Financial Corp.,235 Whitehorse Ln Ste 200 Kennett Square PA,Chatham Financial Corp.,0.7928,Yes
84,537,34030880,EXTRA SPACE STORAGE,2900 CRESCENT SPRINGS RD,ERLANGER,KY,41017,US,87-0405300,0.0,21301811,Extra Space Storage,3091 Oceanside Blvd Oceanside CA,Extra Space Storage,1.0,Yes
85,540,34030914,PROMO SHOP INC,5420 MC CONNELL AVENUE,LOS ANGELES,CA,90066,US,95-4678006,20653.75,48354620,"Promo Shop, Inc.",5420 McConnell Ave Los Angeles CA,"Promo Shop, Inc.",1.0,Yes
86,549,34031066,THE W CAPRA CONSULTING GROUP INC,221 N LASALLE STE 1325,CHICAGO,IL,60601,US,32-0524757,15000.0,112924142,The W Capra Consulting Group Inc,221 N Lasalle St Chicago IL,The W Capra Consulting Group Inc,1.0,Yes
87,552,34031096,JETBRAINS AMERICAS INC,989 EAST HILLSDALE BLVD STE 200,FOSTER CITY,CA,94404,US,47-4642563,25061.96,19026315,"Jetbrains Americas, Inc.",989 E Hillsdale Blvd Foster City CA,"Jetbrains Americas, Inc.",1.0,Yes
88,569,34031785,ORGANIZATIONAL SOLUTIONS INC,2186 MOUNTAIN GROVE AVE #253,BUELINGTON,ON,L7P 4X4,CA,854074838,32237.75,208081910,Organizational Solutions,2186 Mountain Grove Avenue BURLINGTON ON,Organizational Solutions,1.0000000000000002,Yes
89,572,34032256,PEPPERJAM LLC,PO BOX 787432,PHILADELPHIA,PA,19178-7432,US,36-4825226,20130.56,80319980,Pepperjam LLC,7 S Main St Ste 301 Wilkes Barre PA,PERFORMANCE HORIZON GROUP LIMITED,1.0,Yes
90,578,34032391,DONNELLEY FINANCIAL LLC,PO BOX 842282,BOSTON,MA,02284-2282,US,13-2618477,180494.92,17905010,"Donnelley Financial, LLC",1300 E 9th St Ste 1200 Cleveland OH,"Donnelley Financial Solutions, Inc.",1.0000000000000002,Yes
91,586,34032697,RISI INC,4 ALFRED CIRCLE,BEDFORD,MA,01730,US,51-0396095,37695.0,197122356,"Risi, Inc.",1 Van De Graaff Dr # 601 Burlington MA,EUROMONEY INSTITUTIONAL INVESTOR PLC,1.0,Yes
92,596,34032799,DIAL ESCANABA MALL 1 LP,"11506 NICHOLAS STREET, STE 100",OMAHA,NE,68154,US,81-3407140,10800.0,620159491,The Dial Corporation,11506 Nicholas St Ste 200 Omaha NE,The Dial Corporation,0.808,Yes
93,606,34032929,EXTRA SPACE MANAGEMENT INC,9368 TEDDY LN,LONE TREE,CO,80124,US,87-0405300,0.0,174956102,"Extra Space Management, Inc.",2795 E Cottonwood Pkwy # 400 Salt Lake City UT,Extra Space Storage Inc.,1.0,Yes
94,627,34033253,SYUFY ENTERPRISES LP,150 PELICAN WAY,SAN RAFAEL,CA,94901,US,94-2167713,11505.6,828112532,Syufy Enterprises,150 Pelican Way San Rafael CA,Syufy Enterprises,1.0,Yes
95,646,34033439,ETHAN CONRAD,1300 NATIONAL DR STE 100,SACRAMENTO,CA,95834,US,555-57-7280,4354.0,177648032,"Ethan Conrad Properties, Inc.",1300 National Dr Ste 100 Sacramento CA,"Ethan Conrad Properties, Inc.",0.9721,Yes
96,670,34033689,EXTRA SPACE STORAGE,2290 RTE 66,NEPTUNE,NJ,07753,US,87-0405300,1.7053025658242404e-13,21301811,Extra Space Storage,3091 Oceanside Blvd Oceanside CA,Extra Space Storage,1.0,Yes
97,691,34033772,PUBLIC STORAGE,4021 MARLANE DR,GROVE CITY,OH,43123,US,95-4594912,0.0,43394881,Public Storage,701 Western Ave Glendale CA,Public Storage,1.0000000000000002,Yes
98,709,34033857,PUBLIC STORAGE,6040 LAKEHURST DR,ORLANDO,FL,32819,US,95-3551121,0.0,43394881,Public Storage,701 Western Ave Glendale CA,Public Storage,1.0000000000000002,Yes
99,710,34033864,EXTRA SPACE MANAGEMENT,11635 E WASHINGTON BLVD,WHITTIER,CA,90606,US,87-0405300,280.4,174956102,"Extra Space Management, Inc.",2795 E Cottonwood Pkwy # 400 Salt Lake City UT,Extra Space Storage Inc.,1.0,Yes
100,713,34033878,"NARE WOODRIDGE MANAGEMENT, LLC",27 N GREEN ST,CHICAGO,IL,60607,US,83-1329358,8000.0,130405667,"Nare Market Plaza, LLC",27 N Green St Chicago IL,"Nare Market Plaza, LLC",0.8305,Yes
101,716,34033901,"INGLES MARKETS, INC",2913 HWY 70 W,BLACK MOUNTAIN,NC,28711,US,56-0846267,6600.0,24418584,"Ingles Markets, Incorporated",2913 US Highway 70 Black Mountain NC,"Ingles Markets, Incorporated",1.0,Yes
102,756,34034093,EXTRA SPACE STORAGE,6610 HWY 6,HOUSTON,TX,77084,US,87-0405300,0.0,21301811,Extra Space Storage,3091 Oceanside Blvd Oceanside CA,Extra Space Storage,1.0,Yes
103,769,34034137,PUBLIC STORAGE,6911 S ALAMEDA ST,LOS ANGELES,CA,90001,US,95-3551121,0.0,43394881,Public Storage,701 Western Ave Glendale CA,Public Storage,1.0000000000000002,Yes
104,776,34034152,PUBLIC STORAGE,925 ROUTE 70,BRICK,NJ,08724,US,95-3551121,0.0,43394881,Public Storage,701 Western Ave Glendale CA,Public Storage,1.0000000000000002,Yes
105,777,34034153,RAINIER UTC ACQUISITIONS LLC,13760 NOEL RD STE 1020,DALLAS,TX,75240,US,84-1917717,7000.0,116965103,"Rainier Truman's Marketplace Acquisitions, LLC",13760 Noel Rd Ste 800 Dallas TX,"Rainier Truman's Marketplace Acquisitions, LLC",0.7249,Yes
106,782,34034173,CPC CAMERON CROSSING LLC,800 VANDERBILT BEACH RD,NAPLES,FL,34108,US,81-5015944,7245.0,118583599,"CPC Houma II, LLC",800 Vanderbilt Beach Rd Naples FL,"CPC Houma II, LLC",0.7919,Yes
107,788,34034193,SOUTH HILL MALL,5577 YOUNGSTOWN WARREN RD,NILES,OH,44446,US,34-1557349,5100.88,86415078,Kennedy Mall Ltd,5577 Youngstown Warren Rd Niles OH,Kennedy Mall Ltd,0.7559,Yes
108,813,34034282,REGENCY CENTERS LP,PO BOX 532937,ATLANTA,GA,30353,US,59-3429602,9859.619999999999,190720599,"Regency Centers, L.P.",1 Independent Dr Ste 114 Jacksonville FL,Regency Centers Corporation,1.0000000000000002,Yes
109,827,34034382,ERNST & YOUNG (CHINA) ADVISORY LIMI,"50/F, SHANGHAI WORLD FINANCIAL CTR",SHANGHAI,020,200120,CN,,25431.47,529042021,Ernst & Young (China) Advisory Limited,"50/F, Shanghai World Financial Center, 100 Century Avenue, Pudon Shanghai SH",Ernst & Young (China) Advisory Limited,0.7401,Yes
110,898,34034629,PUBLIC STORAGE,3490 N DESERT DR,EAST POINT,GA,30344,US,95-3551121,0.0,43394881,Public Storage,701 Western Ave Glendale CA,Public Storage,1.0000000000000002,Yes
111,919,34034692,EXTRA SPACE STORAGE,2120 W ROOSEVELT BLVD,MONROE,NC,28110,US,87-0405300,0.0,21301811,Extra Space Storage,3091 Oceanside Blvd Oceanside CA,Extra Space Storage,1.0,Yes
112,933,34034718,COUPA SOFTWARE INC,PO BOX 398396,SAN FRANCISCO,CA,94139-8396,US,20-4429448,264906.88,790577006,Coupa Software Incorporated,1855 S Grant St San Mateo CA,Coupa Software Incorporated,1.0,Yes
113,944,34034747,RAINIER MOORE PLAZA ACQUISITIONS,13760 NOEL RD STE 1020,DALLAS,TX,75240,US,82-3679377,3000.0,116965103,"Rainier Truman's Marketplace Acquisitions, LLC",13760 Noel Rd Ste 800 Dallas TX,"Rainier Truman's Marketplace Acquisitions, LLC",0.7227,Yes
114,955,34034770,PUBLIC STORAGE,546 E BALTIMORE AVE,CLIFTON HEIGHTS,PA,19018,US,20-4669829,0.0,43394881,Public Storage,701 Western Ave Glendale CA,Public Storage,1.0000000000000002,Yes
115,956,34034771,EXTRA SPACE STORAGE,2801 N HURSTBOURE PKWY,LOUISVILLE,KY,40223,US,87-0405300,0.0,21301811,Extra Space Storage,3091 Oceanside Blvd Oceanside CA,Extra Space Storage,1.0,Yes
116,996,34034878,NEW YORK LIFE INSURANCE COMPANY,1701 RIVER RUN RD STE 500,FORT WORTH,TX,76107,US,13-5582869,400.0,44900287,New York Life Insurance Co,7249 Longfield Dr Cincinnati OH,New York Life Insurance Co,1.0,Yes
117,1000,34034886,BENDERSON DEVELOPMENT CO LLC,570 DELAWARE AVE,BUFFALO,NY,14202,US,16-1549911,13200.0,78741276,"Benderson Development Company, LLC", University Park FL,"Benderson Development Company, LLC",1.0000000000000002,Yes
118,1023,34034940,CORAL RIDGE MALL LLC,"SDS-12-1657, PO BOX 86",MINNEAPOLIS,MN,55486-1657,US,83-1625875,2900.0,13033603,Coral Ridge Mall, Portland OR,Coral Ridge Mall,1.0,Yes
119,1024,34034941,B33 METRO CROSSING II LLC,PO BOX 6304,HICKSVILLE,NY,11802-6304,US,84-4459476,35382.020000000004,118297655,B33 Metro Crossing II LLC,9330 W Sahara Ave Ste 270 Las Vegas NV,B33 Metro Crossing II LLC,1.0,Yes
120,1027,34034946,HAUPPAUGE PROPERTIES LLC,"1975 HEMPSTEAD TPK, STE 309",EAST MEADOW,NY,11554,US,80-0499103,14700.0,88233621,Hauppauge Properties LLC,205 County Road 6 E Ste S Elkhart IN,Hauppauge Properties LLC,1.0,Yes
121,1079,34035108,CBL & ASSOCIATES LIMITED PARTNERSHI,2030 HAMILTON PL BLVD STE 500,CHATTANOOGA,TN,37421-6000,US,62-1542285,4725.0,807818773,Cbl & Associates Limited Partnership,2030 Hamilton Place Blvd C Chattanooga TN,"Cbl & Associates Properties, Inc.",0.7853,Yes
122,1082,34035115,HAUPPAUGE PROPERTIES LLC,1975 HEMPSTEAD TPK STE 309,EAST MEADOW,NY,11554,US,80-0499103,7500.0,88233621,Hauppauge Properties LLC,205 County Road 6 E Ste S Elkhart IN,Hauppauge Properties LLC,1.0,Yes
123,1129,34035293,WRI TRAUTMANN LP,PO BOX 30344,TAMPA,FL,33630,US,13-2744380,5000.0,828024658,"Wri Trautmann, L.P.",2600 Citadel Plaza Dr Houston TX,Kimco Realty Corporation,1.0,Yes
124,1149,34035346,GS CENTENNIAL LLC,3300 ENTERPRISE PKWY,BEACHWOOD,OH,44122,US,34-1723097,14400.0,86046773,Gs Centennial LLC, CLEVELAND OH,Gs Centennial LLC,1.0,Yes
