index,SUPPLIER_NBR,SUPPLIER_ERP,SUPPLIER_ADDRESS,SUPPLIER_CITY,SUPPLIER_STATE,SUPPLIER_ZIP_CDE,SUPPLIER_COUNTRY,SUPPLIER_TAX_ID,SPEND_USD,D-U-N-S Number,business_name,street_address,Global Ultimate Business Name,cosine_similarity,match
0,34000005,3E COMPANY,PO BOX 5307,NEW YORK,NY,10087-5307,US,81-0551631,209406.58,104887639,Tbp Brookfield LLC, New York NY,Tbp Brookfield LLC,0.3358,No
1,34000044,DATALOGIC USA INC,PO BOX 734724,DALLAS,TX,75373-4724,US,16-0969362,305972.59,117136356,Marsh USA Inc., Dallas TX,"Marsh & McLennan Companies, Inc.",0.3793,No
2,34000064,ACTION SUPPLY PRODUCTS INC,1065 MONTOUR W INDL PARK,CORAOPOLIS,PA,15108,US,25-1564429,6574.6,68672088,Total Equipment Company,400 5th Ave Coraopolis PA,"Dxp Enterprises, Inc.",0.2541,No
3,34000067,ADI,25429 NETWORK PLACE,CHICAGO,IL,60673-1254,US,36-3549597,535.95,189050284,"Applied Industrial Technologies, Inc.",22510 Network Pl Chicago IL,"Applied Industrial Technologies, Inc.",0.3491,No
4,34000091,APO PUMPS AND COMPRESSORS LLC,PO BOX 634968,CINCINNATI,OH,45263-4968,US,47-5547272,2765.46,175308035,"T-Mobile Usa, Inc.", Cincinnati OH,"T-Mobile Us, Inc.",0.3297,No
5,34000105,ALDERWOOD MALL LLC,"SDS-12-3019, PO BOX 86",MINNEAPOLIS,MN,55486-3019,US,20-2975958,34052.6,121821149,"Pcg Trading, LLC", Minneapolis MN,"Arrow Electronics, Inc.",0.2719,No
6,34000110,BROOKLYN KINGS PLAZA LLC,"DEPT 880513, PO BOX 29650",PHOENIX,AZ,85038-9650,US,95-4430951,8430.0,95092321,Dept of Revenue Arizona, Phoenix AZ,State of Arizona,0.2644,No
7,34000123,COMENITY BANK,3100 EASTON SQ PL,COLUMBUS,OH,43219,US,34-1610866,316581.16,51563019,West Point Optical LLC,3775 Easton Way Columbus OH,West Point Optical LLC,0.3186,No
8,34000133,ALTAMONTE MALL,451 E ALTAMONTE DR STE 2165,ALTAMONTE SPRINGS,FL,32701,US,36-4238814,6390.0,67843771,City of Altamonte Springs,225 Newburyport Ave Altamonte Springs FL,City of Altamonte Springs,0.5613,No
9,34000163,AMPAC LLC,PO BOX 905349,CHARLOTTE,NC,28290-5349,US,31-1793525,7648355.25,4992319,"Carpenter Co, Inc", Charlotte NC,"Carpenter Co, Inc",0.3402,No
10,34000175,ANTELOPE VALLEY MALL,1233 RANCHO VISTA BLVD,PALMDALE,CA,93551,US,34-1615597,0.0,187490557,T-World,2520 E Palmdale Blvd Palmdale CA,T-World,0.3357,No
11,34000182,APPLIED PREDICTIVE,901 N STUART ST,ARLINGTON,VA,22203,US,13-4094079,171007.0,80475350,Gotab Inc.,901 N Stuart St Ste 800 Arlington VA,Gotab Inc.,0.6029,No
12,34000184,AQUA SCIENCE INC,1877 E 17TH AVE,COLUMBUS,OH,43219,US,31-1098949,18554.35,92664644,Guerrero Transportation LLC,915 E 17th Ave Columbus OH,Guerrero Transportation LLC,0.3888,No
13,34000198,ARENT FOX LLP,P.O. BOX 644672,PITTSBURGH,PA,15264-4672,US,53-0214923,51043.5,116993944,"Spectrum Management Holding Company, LLC", Pittsburgh PA,"Charter Communications, Inc.",0.2928,No
14,34000216,ARY ROEPCKE MULCHAEY STEVENSON,2 MIRANOVA PL,COLUMBUS,OH,43215,US,52-2370901,34740.0,144633679,M Restaurant & Bar,2 Miranova Pl Columbus OH,M Restaurant & Bar,0.6667,No
15,34000263,AVIALL SERVICES INC,PO BOX 842267,DALLAS,TX,75284-2267,US,75-2401836,2711.03,809891869,"Ds Services of America, Inc.", Dallas TX,"Ds Services of America, Inc.",0.3399,No
16,34000276,BAILEY CAVALIERI LLC,PO BOX 932338,CLEVELAND,OH,44193,US,16-1675009,6330.5,17435137,Baker & Hostetler LLP, Cleveland OH,Baker & Hostetler LLP,0.3336,No
17,34000291,BAY TACT CORP,440 ROUTE 198,WOODSTOCK VALLEY,CT,06282-2427,US,84-1057757,2226.5,59730364,Hotel Dylan,1802 State Route 28 Woodstock NY,Hotel Dylan,0.2476,No
18,34000294,BAYSHORE MALL PARTNERS,"SDS-12-1380, PO BOX 86",MINNEAPOLIS,MN,55486-1380,US,42-1425255,2190.0,121821149,"Pcg Trading, LLC", Minneapolis MN,"Arrow Electronics, Inc.",0.2804,No
19,34000321,BGR INC,6392 GANO RD,WEST CHESTER,OH,45069,US,31-0841900,40406.25,63974430,"B.G.R., Inc.",6392 Gano Rd West Chester OH,"B.G.R., Inc.",0.6667,No
20,34000378,BRIDGET HENRY MAKEUP LLC,2133 MIDDLESEX RD,UPPER ARLINGTON,OH,43220,US,300-88-8687,33697.66,122166728,Absolute Rental - Murfreesboro - Murfreesboro TN,2133 NW Broad St Murfreesboro TN,Absolute Rental - Murfreesboro - Murfreesboro TN,0.2413,No
21,34000437,CAPITOL CITICOM INC,2225 CITYGATE DR STE A,COLUMBUS,OH,43219,US,31-1131586,5671.7,80558407,Tiba LLC,2228 Citygate Dr Columbus OH,Tiba LLC,0.4323,No
22,34000470,CDW COMPUTER CTR INC,PO BOX 75723,CHICAGO,IL,60675-5723,US,36-3310735,18154.13,24475696,"Cdw Direct, LLC", Chicago IL,Cdw Corporation,0.4512,No
23,34000475,CENTRAL REGION POWER SYSTEMS,2139 ST JAMES AVE,CINCINNATI,OH,45206,US,31-1453170,13800.0,827168436,Advanced Handling Systems Inc, Cincinnati OH,Advanced Handling Systems Inc,0.3848,No
25,34001168,HARPER ENGRAVING AND PRINTINGCO INC,2626 FISHER RD,COLUMBUS,OH,43204-3561,US,31-0670557,8698.15,147215909,"Vista Industrial Packaging, LLC",4700 Fisher Rd Columbus OH,"Vista Industrial Packaging, LLC",0.4324,No
26,34001402,OROURKE AND NAPPI,655 15TH ST NW STE 425,WASHINGTON,DC,20005-5724,US,47-1182102,0.0,33562657,Social Code LLC,655 15th St NW Ste 3 Washington DC,Graham Holdings Company,0.5703,No
27,34001404,JOHNSTONE SUPPLY,PO BOX 730,COLUMBUS,OH,43216,US,31-1114455,5333.28,91394746,Columbus 95 Parking LLC,730 Columbus Ave New York NY,Columbus 95 Parking LLC,0.4183,No
29,34001591,LYNNHAVEN MALL LLC,701 LYNNHAVEN PKWY,VIRGINIA BEACH,VA,23452,US,36-4369491,3500.0,183100069,"Cedar, L.L.C.",2100 Lynnhaven Pkwy Virginia Beach VA,"Cedar, L.L.C.",0.5455,No
30,34001598,M AND M INDUSTRIES INC,316 CORPORATE PL,CHATTANOOGA,TN,37419,US,62-1260875,750.36,826151552,"Southeastern Fiber Optic Services, LLC", Chattanooga TN,"Southeastern Fiber Optic Services, LLC",0.3911,No
31,34001611,MAINLINE INFO SYS,PO BOX 11407,BIRMINGHAM,AL,35246,US,59-2960721,333371.42000000004,965974095,"Mainline Information Systems, Inc.", Birmingham AL,"Mainline Information Systems, Inc.",0.5433,No
32,34001616,MANHATTAN ASSOC INC,PO BOX 405696,ATLANTA,GA,30384-5696,US,58-2373424,167665.48,785484387,"Manhattan Associates, Inc.",2300 Windy Ridge Pkwy SE 1000n Atlanta GA,"Manhattan Associates, Inc.",0.3205,No
37,34001762,MODERN OFFICE METHODS INC,4747 LAKE FOREST DR STE 200,BLUE ASH,OH,45242-3853,US,31-1479207,14012.48,90369412,Jim Crow Effect Professional Corporation,4555 Lake Forest Dr # 650 Blue Ash OH,Jim Crow Effect Professional Corporation,0.4117,No
38,34001771,MONTCLAIR PLAZA LLC,5060 MONTCLAIR PLAZA,MONTCLAIR,CA,91763,US,36-4326709,4440.0,84976919,City of Montclair,5111 Benito St Montclair CA,City of Montclair,0.5684,No
39,34001826,SUPPLYONE CLEVELAND INC,1600 MARKET ST,PHILADELPHIA,PA,19103,US,34-0966857,324740.1,82951128,"Carmine Street, LLC",1600 Market St Ste 3300 Philadelphia PA,"Carmine Street, LLC",0.5479,No
40,34001881,CIRCANA GROUP LP,24619 NETWORK PL,CHICAGO,IL,60673-1246,US,88-2748589,76325.0,189050284,"Applied Industrial Technologies, Inc.",22510 Network Pl Chicago IL,"Applied Industrial Technologies, Inc.",0.3491,No
42,34001999,PECANLAND MALL,4700 MILHAVEN RD,MONROE,LA,71203,US,41-1746121,10120.0,610007163,Parish of Ouachita, Monroe LA,Parish of Ouachita,0.3411,No
45,34002229,RETAIL INDUSTRY LEADERS,PO BOX 418421,BOSTON,MA,02241-8421,US,04-2395151,50000.0,123016875,Hexagon Engineers Associates,Main PO Boston MA,Hexagon Engineers Associates,0.3509,No
47,34002307,SALMON RUN SHOPPING CTR LLC,21182 SALMON RUN MALL RD,WATERTOWN,NY,13601,US,03-0464228,4500.0,4787588,Stumptown Coffee Corp.,100 SE Salmon St Portland OR,Joh. A. Benckiser B.V.,0.2312,No
48,34002320,SANDUSKY MALL COMPANY,PO BOX 7535,CAROL STREAM,IL,60197-7535,US,34-6692301,6930.0,80631169,Wex Bank, Carol Stream IL,Wex Inc.,0.4656,No
51,34002385,SHERMAN OAKS FASHION ASSOC LLP,PO BOX 56991,LOS ANGELES,CA,90074-6218,US,95-4569929,19966.0,806230806,"Cbre, Inc", Los Angeles CA,"Cbre, Inc",0.3508,No
52,34002514,STEWART GLAPAT CORP,1639 MOXAHALA AVE,ZANESVILLE,OH,43702,US,31-4371751,388101.0,117794833,Genesis Medical Group LLC,2800 Maple Ave Zanesville OH,Genesis Medical Group LLC,0.2689,No
53,34002689,THE MALL AT SIERRA VISTA,2200 EL MERCADO LOOP,SIERRA VISTA,AZ,85635,US,36-4369491,1969.5,72437031,City of Sierra Vista,1011 N Coronado Dr Sierra Vista AZ,City of Sierra Vista,0.5428,No
54,34002702,THE RETAIL EQUATION INC,PO BOX 639032,CINCINNATI,OH,45263-9032,US,33-0843994,292859.82,70631000,Equation of Eight LLC,2706 Lafeuille Cir Cincinnati OH,Equation of Eight LLC,0.4251,No
55,34002738,TITUS GRAPHIC ART INC,1361 COMMUNITY PARK DR,COLUMBUS,OH,43229,US,31-1633721,242.52,556537058,Redman Redman & Horvath, Columbus OH,Redman Redman & Horvath,0.2861,No
56,34002749,TOTAL FILTRATION SERVICES INC,13002 COLLECTIONS CENTER DR,CHICAGO,IL,60693,US,31-1459761,4319.63,829863146,"Canon Financial Services, Inc.",14904 Collections Ctr Dr Chicago IL,CANON INC.,0.3915,No
57,34002766,TREASURER STATE OF OH,PO BOX 4009,REYNOLDSBURG,OH,43068-9009,US,,3776.75,53979520,"M.A. Raney Ventures & Acquisitions, Llc.", Reynoldsburg OH,"M.A. Raney Ventures & Acquisitions, Llc.",0.4348,No
59,34002790,TYRONE SQUARE,6901 TYRONE SQ,ST PETERSBURG,FL,33710,US,34-1755770,10383.78,830984977,"Office Depot, LLC",1950 Tyrone Blvd N Saint Petersburg FL,The Odp Corporation,0.3903,No
62,34002918,WALT WHITMAN MALL,160 WALT WHITMAN RD,HUNTINGTON STATION,NY,11746,US,27-0296866,22044.91,105911059,Mixtiles USA Inc,160 Walt Whitman Rd Huntington Station NY,Mixtiles USA Inc,0.6667,No
63,34002951,WESTERN MGMT GROUP,237 W MAIN ST,LOS GATOS,CA,95030-6818,US,94-2672851,5700.0,124951146,"Wmg, Inc.",237 W Main St Los Gatos CA,"Wmg, Inc.",0.6667,No
64,34002953,HAWTHORN LP,8021 NETWORK PLACE,CHICAGO,IL,60673-1021,US,61-1773939,8203.68,189050284,"Applied Industrial Technologies, Inc.",22510 Network Pl Chicago IL,"Applied Industrial Technologies, Inc.",0.3569,No
65,34002956,WESTFIELD GARDEN STATE PLAZA LP,ONE GARDEN STATE PLAZA,PARAMUS,NJ,07652,US,95-4473003,13367.68,927370606,Plaza Tailors,1 Garden State Plz Ste 1 # 1 Paramus NJ,Plaza Tailors,0.5945,No
66,34002960,WESTWATER SUPPLY CORP,2945 SILVER DR,COLUMBUS,OH,43224,US,31-4427980,6311.0,784941270,"Bill & Mike's Photo, Inc.",2887 Silver Dr Columbus OH,"Bill & Mike's Photo, Inc.",0.3436,No
67,34002970,WHITE OAKS MALL LIMITED PARTNERSHIP,2501 WABASH AVE,SPRINGFIELD,IL,62704,US,35-1872616,2900.0,6090695,Antonio's Pizza's,1013 Wabash Ave Springfield IL,Antonio's Pizza's,0.4305,No
69,34003042,LEARJET INC,2007 COLLECTION DR,CHICAGO,IL,60693-2007,US,13-3567473,247438.2,15989523,"Aecom Energy & Construction, Inc.",Collection Center Dr Chicago IL,Aecom,0.4511,No
70,34003084,IBM CORPORATION,PO BOX 643600,PITTSBURGH,PA,15264-3600,US,13-0871985,716702.5499999999,116993944,"Spectrum Management Holding Company, LLC", Pittsburgh PA,"Charter Communications, Inc.",0.3411,No
